1,0,3
1,1,6
1,2,2
1,3,2
1,4,0
1,5,3
1,6,4
1,7,7
1,8,26
1,9,3
1,10,4
1,11,0
1,12,0
1,13,4
1,14,1
1,15,5
1,16,3
1,17,20
1,18,3
1,19,0
1,20,6
1,21,2
1,22,4
1,23,7
1,24,7
1,25,2
1,26,1
1,27,12
1,28,2
1,29,3
1,30,1
1,31,0
1,32,2
1,33,1
1,34,1
1,35,0
1,36,6
1,37,2
1,38,1
1,39,0
1,40,2
1,41,1
1,42,4
1,43,3
1,44,10
1,45,2
1,46,3
1,47,1
1,48,3
1,49,3
1,50,2
1,51,5
1,52,10
1,53,1
1,54,2
1,55,8
1,56,1
1,57,2
1,58,4
1,59,2
1,60,3
1,61,3
2,0,10
2,1,2
2,2,0
2,3,1
2,4,1
2,5,0
2,6,3
2,7,1
2,8,1
2,9,6
2,10,9
2,11,2
2,12,1
2,13,0
2,14,6
2,15,2
2,16,5
2,17,4
2,18,1
2,19,2
2,20,22
2,21,5
2,22,13
2,23,1
2,24,8
2,25,3
2,26,5
2,27,12
2,28,6
2,29,6
2,30,5
2,31,1
2,32,0
2,33,1
2,34,2
2,35,5
2,36,1
2,37,9
2,38,0
2,39,1
2,40,0
2,41,7
2,42,1
2,43,9
2,44,22
2,45,2
2,46,3
2,47,1
2,48,4
2,49,0
2,50,4
2,51,6
2,52,4
2,53,6
2,54,5
2,55,0
2,56,5
2,57,7
2,58,0
2,59,1
2,60,1
2,61,0
3,0,0
3,1,0
3,2,0
3,3,0
3,4,0
3,5,0
3,6,0
3,7,0
3,8,0
3,9,1
3,10,0
3,11,0
3,12,0
3,13,0
3,14,0
3,15,1
3,16,0
3,17,1
3,18,0
3,19,0
3,20,0
3,21,0
3,22,0
3,23,1
3,24,0
3,25,0
3,26,0
3,27,0
3,28,0
3,29,0
3,30,0
3,31,0
3,32,0
3,33,0
3,34,1
3,35,2
3,36,0
3,37,0
3,38,0
3,39,0
3,40,0
3,41,0
3,42,0
3,43,0
3,44,1
3,45,0
3,46,0
3,47,0
3,48,1
3,49,0
3,50,0
3,51,1
3,52,0
3,53,8
3,54,0
3,55,0
3,56,2
3,57,1
3,58,0
3,59,0
3,60,0
3,61,0
4,0,2
4,1,0
4,2,0
4,3,0
4,4,0
4,5,1
4,6,2
4,7,18
4,8,1
4,9,0
4,10,1
4,11,0
4,12,1
4,13,1
4,14,1
4,15,1
4,16,1
4,17,0
4,18,0
4,19,0
4,20,0
4,21,1
4,22,1
4,23,2
4,24,0
4,25,2
4,26,1
4,27,2
4,28,1
4,29,3
4,30,1
4,31,1
4,32,0
4,33,0
4,34,0
4,35,2
4,36,0
4,37,1
4,38,2
4,39,0
4,40,1
4,41,1
4,42,1
4,43,6
4,44,1
4,45,3
4,46,1
4,47,1
4,48,1
4,49,0
4,50,2
4,51,2
4,52,1
4,53,0
4,54,1
4,55,2
4,56,0
4,57,5
4,58,3
4,59,1
4,60,0
4,61,0
5,0,0
5,1,2
5,2,3
5,3,2
5,4,0
5,5,8
5,6,4
5,7,2
5,8,1
5,9,2
5,10,1
5,11,0
5,12,3
5,13,4
5,14,4
5,15,5
5,16,2
5,17,3
5,18,2
5,19,0
5,20,5
5,21,4
5,22,4
5,23,4
5,24,0
5,25,2
5,26,4
5,27,6
5,28,2
5,29,21
5,30,3
5,31,4
5,32,1
5,33,3
5,34,3
5,35,4
5,36,8
5,37,0
5,38,1
5,39,2
5,40,9
5,41,5
5,42,0
5,43,5
